epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.902,0,112.552,0,0,0,0,0,0,137.001,0,0.000328638,0.000328638,0.000328638
2,303.702,0,91.6087,0,0,0,0,0,0,104.54,0,0.000635758,0.000635758,0.000635758
3,450.319,0,73.6439,0,0,0,0,0,0,82.8442,0,0.000916477,0.000916477,0.000916477
4,594.165,0,55.0674,0,0,0,0,0,0,158.113,0,0.0008812,0.0008812,0.0008812
5,740.124,0,39.7901,0,0,0,0,0,0,47.1191,0,0.0008416,0.0008416,0.0008416
6,885.936,0,28.1842,0,0,0,0,0,0,32.1493,0,0.000802,0.000802,0.000802
7,1030.83,0,19.6182,0,0,0,0,0,0,22.4187,0,0.0007624,0.0007624,0.0007624
8,1173.84,0,13.534,0,0,0,0,0,0,14.3281,0,0.0007228,0.0007228,0.0007228
9,1316.71,0,9.37241,0,0,0,0,0,0,10.2768,0,0.0006832,0.0006832,0.0006832
10,1459.93,0,6.48633,0,0,0,0,0,0,7.13434,0,0.0006436,0.0006436,0.0006436
11,1603.19,0,4.56799,0,0,0,0,0,0,5.15123,0,0.000604,0.000604,0.000604
12,1747.51,0,3.21001,0,0,0,0,0,0,3.71664,0,0.0005644,0.0005644,0.0005644
13,1895.38,0,2.27346,0,0,0,0,0,0,2.83572,0,0.0005248,0.0005248,0.0005248
14,2043.84,0,1.6265,0,0,0,0,0,0,2.00532,0,0.0004852,0.0004852,0.0004852
15,2190.72,0,1.18098,0,0,0,0,0,0,1.35707,0,0.0004456,0.0004456,0.0004456
16,2335.54,0,0.88015,0,0,0,0,0,0,1.02337,0,0.000406,0.000406,0.000406
17,2478.06,0,0.66703,0,0,0,0,0,0,0.79256,0,0.0003664,0.0003664,0.0003664
18,2620.86,0,0.51929,0,0,0,0,0,0,17.7642,0,0.0003268,0.0003268,0.0003268
19,2763.83,0,0.41387,0,0,0,0,0,0,0.50734,0,0.0002872,0.0002872,0.0002872
20,2906.47,0,0.3421,0,0,0,0,0,0,0.42572,0,0.0002476,0.0002476,0.0002476
21,3049.59,0,0.28553,0,0,0,0,0,0,4.60727,0,0.000208,0.000208,0.000208
22,3191.76,0,0.25162,0,0,0,0,0,0,2.52563,0,0.0001684,0.0001684,0.0001684
23,3335.47,0,0.22371,0,0,0,0,0,0,64.104,0,0.0001288,0.0001288,0.0001288
24,3476.63,0,0.20756,0,0,0,0,0,0,236.799,0,8.92e-05,8.92e-05,8.92e-05
25,3617.13,0,0.19735,0,0,0,0,0,0,70.2604,0,4.96e-05,4.96e-05,4.96e-05
