epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.76539,0,0.05995,0,0,0,0,0,0,0,0,0.000331002,0.000331002,0.000331002
2,15.3842,0,0.03193,0,0,0,0,0,0,0,0,0.000598566,0.000598566,0.000598566
3,22.2438,0,0.01019,0,0,0,0,0,0,0,0,0.000800131,0.000800131,0.000800131
4,28.6062,0,0.00643,0,0,0,0,0,0,0,0,0.000703,0.000703,0.000703
5,34.7589,0,0.00313,0,0,0,0,0,0,0,0,0.000604,0.000604,0.000604
6,41.1325,0,0.00141,0,0,0,0,0,0,0,0,0.000505,0.000505,0.000505
7,47.2475,0,0.00117,0,0,0,0,0,0,0,0,0.000406,0.000406,0.000406
8,53.3459,0,0.00114,0,0,0,0,0,0,0,0,0.000307,0.000307,0.000307
9,59.7647,0,0.00114,0,0,0,0,0,0,0,0,0.000208,0.000208,0.000208
10,66.1714,0,0.00114,0,0,0,0,0,0,0,0,0.000109,0.000109,0.000109
